pdf_file,page,annot_type,rect_x0,rect_y0,rect_x1,rect_y1,contents,info_title,info_subject,info_content
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",288.0,449.0,299.0,469.0,,AutoCAD SHX Text,,70.1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",248.0,450.0,259.0,472.0,,AutoCAD SHX Text,,70.2
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",276.0,430.0,287.0,451.0,,AutoCAD SHX Text,,70.3
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",248.0,428.0,259.0,450.0,,AutoCAD SHX Text,,70.4
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",280.0,487.0,291.0,501.0,,AutoCAD SHX Text,,70
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",192.0,339.0,203.0,357.0,,AutoCAD SHX Text,,71.1
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",277.0,400.0,286.0,415.0,,AutoCAD SHX Text,,71.2
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",289.0,382.0,298.0,396.0,,AutoCAD SHX Text,,71.3
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",280.0,363.0,289.0,378.0,,AutoCAD SHX Text,,71.4
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",258.0,394.0,267.0,409.0,,AutoCAD SHX Text,,71.5
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",233.0,375.0,242.0,390.0,,AutoCAD SHX Text,,71.6
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",251.0,352.0,260.0,367.0,,AutoCAD SHX Text,,71.7
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",222.0,364.0,231.0,379.0,,AutoCAD SHX Text,,71.8
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",223.0,340.0,232.0,355.0,,AutoCAD SHX Text,,71.9
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",242.0,337.0,253.0,351.0,,AutoCAD SHX Text,,72
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",217.0,309.0,228.0,324.0,,AutoCAD SHX Text,,74
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",491.0,971.0,501.0,995.0,,AutoCAD SHX Text,,1 & 2
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",486.0,956.0,496.0,965.0,,AutoCAD SHX Text,,3
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",493.0,881.0,503.0,890.0,,AutoCAD SHX Text,,5
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",332.0,474.0,343.0,488.0,,AutoCAD SHX Text,,92
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",301.0,405.0,312.0,419.0,,AutoCAD SHX Text,,94
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",373.0,340.0,384.0,354.0,,AutoCAD SHX Text,,96
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",360.0,298.0,371.0,312.0,,AutoCAD SHX Text,,98
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",321.0,322.0,332.0,336.0,,AutoCAD SHX Text,,97
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",322.0,277.0,333.0,291.0,,AutoCAD SHX Text,,99
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",361.0,265.0,372.0,283.0,,AutoCAD SHX Text,,100
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",599.0,313.0,609.0,334.0,,AutoCAD SHX Text,,102.4
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",668.0,299.0,679.0,317.0,,AutoCAD SHX Text,,103
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",619.0,347.0,630.0,365.0,,AutoCAD SHX Text,,102
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",598.0,195.0,609.0,212.0,,AutoCAD SHX Text,,106
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",603.0,220.0,615.0,238.0,,AutoCAD SHX Text,,107
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",525.0,262.0,536.0,279.0,,AutoCAD SHX Text,,110
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",559.0,227.0,568.0,240.0,,AutoCAD SHX Text,,108
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",524.0,302.0,535.0,319.0,,AutoCAD SHX Text,,116
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",523.0,351.0,534.0,369.0,,AutoCAD SHX Text,,122
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",486.0,346.0,498.0,364.0,,AutoCAD SHX Text,,123
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",472.0,337.0,483.0,355.0,,AutoCAD SHX Text,,124
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",447.0,362.0,458.0,380.0,,AutoCAD SHX Text,,125
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",421.0,339.0,432.0,357.0,,AutoCAD SHX Text,,126
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",451.0,304.0,462.0,322.0,,AutoCAD SHX Text,,127
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",393.0,308.0,404.0,326.0,,AutoCAD SHX Text,,128
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",513.0,222.0,524.0,237.0,,AutoCAD SHX Text,,111
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",482.0,256.0,493.0,273.0,,AutoCAD SHX Text,,117
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",453.0,266.0,464.0,283.0,,AutoCAD SHX Text,,118
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",453.0,223.0,464.0,240.0,,AutoCAD SHX Text,,119
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",429.0,224.0,440.0,242.0,,AutoCAD SHX Text,,120
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",424.0,254.0,435.0,270.0,,AutoCAD SHX Text,,121
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",397.0,223.0,408.0,241.0,,AutoCAD SHX Text,,130
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",385.0,257.0,396.0,273.0,,AutoCAD SHX Text,,131
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",346.0,224.0,357.0,242.0,,AutoCAD SHX Text,,132
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",329.0,224.0,340.0,242.0,,AutoCAD SHX Text,,134
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",313.0,254.0,324.0,272.0,,AutoCAD SHX Text,,133
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",295.0,254.0,306.0,272.0,,AutoCAD SHX Text,,135
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",449.0,171.0,460.0,188.0,,AutoCAD SHX Text,,112
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",468.0,140.0,479.0,158.0,,AutoCAD SHX Text,,113
BX-FM_10-30-2025-Model.pdf,1,"(4, 'Square')",522.0,137.0,533.0,154.0,,AutoCAD SHX Text,,114
