swmm_node_id,excel_node_id,pdf_label,rim_elev,invert_elev,node_type,assigned_inflow_q_cfs,inflow_source,assigned_subcatchment_area_ac,assigned_subcatchment_width_ft,assigned_subcatchment_slope_pct,assigned_subcatchment_pct_imperv,missing_flag,derived_flag,notes
J121,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J122,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J123,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J124,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J125,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J126,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J127,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J128,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J129,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J130,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J131,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J132,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J133,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J134,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J135,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J136,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J137,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J138,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J139,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J140,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J141,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J142,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J143,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J144,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J145,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J146,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J147,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J148,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J149,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J150,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J151,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J152,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J153,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J154,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J155,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J156,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J157,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J158,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J159,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J160,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J161,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J162,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J165,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J166,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J167,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J168,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
J169,,,,,junction,,,0.0,10.0,1.0,55.0,1,1,Derived mapping from rational row order; verify against plan labels
