"""c""",area,b_p,base,base_ca,col_1,col_10,col_11,col_12,col_14,col_15,col_16,col_2,col_3,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_5,col_6,col_7,col_8,col_9,description,dia,dist.,dn_strm,downstream_node,extraction_method,f_s,freebrd,headloss,hgl,hl,i,inlet,jct,jct_area,junction_type,keystroke,length,location,macro_or_dialog_box,mca,modules,name,pipe_id,q,r_g,slope,source_row,source_sheet,t_c,t_p,t_t,tc,upstream_node,userforms,vel,worksheet_formulas
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,6.0,hydraulics_structured_table,nan,nan,1.9456211728092885,nan,nan,nan,nan,nan,nan,RIGHT ANGLE JCT,nan,826.0,nan,nan,nan,nan,nan,3-6,10.979404861160939,nan,0.002355473574829647,74,HYDRAULICS,nan,nan,nan,nan,3.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,3.0,hydraulics_structured_table,nan,nan,2.187130445724634,nan,nan,nan,nan,nan,nan,SIDE BRANCH JCT,nan,943.0,nan,nan,nan,nan,nan,2-3,10.894848069755655,nan,0.0023193323920727826,77,HYDRAULICS,nan,nan,nan,nan,2.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,2.0,hydraulics_structured_table,nan,nan,0.2189053517044484,nan,nan,nan,nan,nan,nan,nan,nan,176.0,nan,nan,nan,nan,nan,1-2,7.97832157916739,nan,0.0012437804074116388,80,HYDRAULICS,nan,nan,nan,nan,1.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,nan,nan,6.0,hydraulics_structured_table,nan,nan,0.2678434243387921,nan,nan,nan,nan,nan,nan,INLET JUNCTION,nan,519.0,nan,nan,nan,nan,nan,5-6,5.1392115706040205,nan,0.0005160759621171332,83,HYDRAULICS,nan,nan,nan,nan,5.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,5.0,hydraulics_structured_table,nan,nan,0.1215046249885282,nan,nan,nan,nan,nan,nan,RIGHT ANGLE,nan,214.0,nan,nan,nan,nan,nan,4-5,2.5029906962932422,nan,0.0005677786214417208,86,HYDRAULICS,nan,nan,nan,nan,4.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,7.1,hydraulics_structured_table,nan,nan,0.0369200731807658,nan,nan,nan,nan,nan,nan,RIGHT ANGLE,nan,300.0,nan,nan,nan,nan,nan,7-7.1,1.1653070302667903,nan,0.00012306691060255277,91,HYDRAULICS,nan,nan,nan,nan,7.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,9.0,hydraulics_structured_table,nan,nan,0.0448211768664745,nan,nan,nan,nan,nan,nan,nan,nan,291.0,nan,nan,nan,nan,nan,8-9,1.3036615317438387,nan,0.0001540246627713902,94,HYDRAULICS,nan,nan,nan,nan,8.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,15.0,hydraulics_structured_table,nan,nan,0.0334854342295327,nan,nan,nan,nan,nan,nan,RIGHT ANGLE JCT,nan,264.0,nan,nan,nan,nan,nan,13-15,1.1830299007494003,nan,0.00012683876602095722,97,HYDRAULICS,nan,nan,nan,nan,13.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,13.0,hydraulics_structured_table,nan,nan,0.0213401717571622,nan,nan,nan,nan,nan,nan,nan,nan,356.0,nan,nan,nan,nan,nan,12-13,0.8132867064221618,nan,5.9944302688657946e-05,99,HYDRAULICS,nan,nan,nan,nan,12.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,18.0,nan,nan,15.0,hydraulics_structured_table,nan,nan,0.0045921586077976,nan,nan,nan,nan,nan,nan,nan,nan,76.0,nan,nan,nan,nan,nan,14-15,0.8165285246647667,nan,6.0423139576285175e-05,102,HYDRAULICS,nan,nan,nan,nan,14.0,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,nan,29.0,hydraulics_structured_table,nan,nan,0.1372158336190586,nan,nan,nan,nan,nan,nan,nan,nan,189.0,nan,nan,nan,nan,nan,26-29,11.051916500505962,nan,0.0007260097016881408,105,HYDRAULICS,nan,nan,nan,nan,26.0,nan,nan,nan
